State,County,Zip Code,Landfill Name,City,Ownership Type,Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Landfill Design Capacity (tons),Waste in Place (tons),Waste in Place Year,Annual Waste Acceptance Rate (tons per year),Annual Waste Acceptance Year,LFG Generated (mmscfd),,NON HISP,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,,NON HISP,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,,NON HISP,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,,NON HISP,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,,NON HISP,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,20TH PERCENTILE,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,,40TH PERCENTILE,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,,60TH PERCENTILE,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,,80TH PERCENTILE,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,,80TH PERCENTILE,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA,,WA,BA,IA,AA,NA,OTHER,TOM,ALUKE010,ALUKE011,HA
MA,Hampden,1089,Bondi Island Landfill,West Springfield,Public,1968,2022,Open,,"3,220,880",2016,"139,567",2016,,,0.894089273,0.796322835,0.02806809,0.002446782,0.040476773,0,0.000524311,0.026250481,0.001537978,0.024712503,0.105910727,,1,1,0,0,0,0,0,1,1,1,0,,,,,,,,,,,,,,0,0,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,1,1,0,0,1,1,0,1,1,,,,,,,,,,,,,,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,
MA,Worcester,1440,West Street Landfill,Gardner,Public,1911,2005,Closed,,"2,780,000",2005,"78,000",2005,0.951,,0.9072295,0.812324115,0.023144105,0.000533721,0.031586608,0,0.002911208,0.036729743,0.000388161,0.036341582,0.0927705,,1,1,0,0,0,0,1,1,0,1,0,,,,,,,,,,,,,,0,0,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,0,0,0,1,0,1,1,1,1,0,,,,,,,,,,,
MA,Worcester,1473,Fitchburg-Westminster LF,Westminster,Private,1972,2025,Open,"13,056,471","12,922,896",2019,"520,944",2019,,,0.966778264,0.962013907,0,0,0.002317796,0,0,0.002446562,0,0.002446562,0.033221736,,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,1,1,0,1,1,0,1,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
MA,Worcester,1475,Winchendon Landfill,Winchendon,Public,,1999,Closed,,,,"71,500",,,,0.967944573,0.907528868,0.011270208,0,0.026143187,0,0,0.023002309,0.003140878,0.019861432,0.032055427,,1,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,1,1,1,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,0,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,
MA,Middlesex,1510,South Meadow Road LF,Clinton,Public,,1988,Closed,,"1,500,000",,,,,,0.827269465,0.777969142,0.01105131,0.000215285,0.018012199,0,0.009687836,0.010333692,0,0.010333692,0.172730535,,1,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,0,0,1,1,1,0,1,0,0,0,1,,,,,,,,,,,,,,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,1,1,0,0,0,1,0,1,0,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,
MA,Worcester,1524,Leicester LF,Leicester,Public,1972,1991,Closed,,,,,,,,0.975503457,0.928914938,0.023745116,0,0.006762849,0.00135257,0,0.014727983,0.000300571,0.014427412,0.024496543,,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,1,1,0,1,1,0,1,1,1,0,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,1,0,0,1,0,1,1,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,
MA,Worcester,1550,Southbridge Recycling & Disposal Park,Southbridge,Public,1981,2018,Closed,"6,000,000","5,305,992",2018,"309,851",2018,,,0.671463256,0.629241428,0.019127139,0.00041452,0.00373068,0,0.001125126,0.017824362,0.000355303,0.017469059,0.328536744,,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,0,0,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,1,1,1,0,0,1,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,
MA,Worcester,1556,Sturbridge Landfill,Sturbridge,Public,1973,2030,Open,,,,275,2015,,,0.671463256,0.629241428,0.019127139,0.00041452,0.00373068,0,0.001125126,0.017824362,0.000355303,0.017469059,0.328536744,,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,0,0,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,1,1,1,0,0,1,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,
MA,Worcester,1607,Greenwood Street LF,Worcester,Public,1973,1986,Closed,,"2,000,000",,"273,750",1986,,,0.835067956,0.568384964,0.215378964,0,0.035753643,0,0,0.015550386,0.004897759,0.010652626,0.164932044,,1,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,0,0,1,0,1,0,0,1,1,0,1,,,,,,,,,,,,,,1,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,0,1,,,,,,,,,,,
MA,Middlesex,1749,RCI Hudson/Stow LF,Hudson,Private,1978,1995,Closed,,"711,360",,"73,000",1995,,,0.941720722,0.892341731,0.011917333,0,0.027052849,0,0.002564489,0.00784432,0.00085483,0.006989491,0.058279278,,1,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,0,1,1,0,1,0,1,0,1,0,1,,,,,,,,,,,,,,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,0,0,0,1,0,1,0,1,0,0,,,,,,,,,,,
MA,Middlesex,1778,Wayland LF,Wayland,Public,1979,2010,Closed,"108,190","99,190",2007,"2,813",2007,0.05472,,0.950454287,0.798126065,0.006885292,0,0.112507098,0.002484384,0.00354912,0.026902328,0,0.026902328,0.049545713,,1,1,0,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,0,1,1,,,,,,,,,,,,,,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,
MA,Middlesex,1821,Shaffer Landfill,Billerica,Private,1913,1987,Closed,,,,"365,000",1987,,,0.964386987,0.834314114,0.032960332,0,0.078940147,0.001433058,0.0025917,0.014147635,0.005183401,0.008964235,0.035613013,,1,1,0,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,0,0,1,0,1,1,1,1,1,0,1,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,1,1,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,1,1,1,0,1,0,0,,,,,,,,,,,
MA,Essex,1835,Haverhill Landfill,Haverhill,Private,1982,2021,Open,"8,537,210","7,788,394",2019,"166,731",2019,0.721,,0.840664852,0.777117065,0.036609829,0,0.010889812,0,0.000644792,0.015403353,0,0.015403353,0.159335148,,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,1,0,1,0,1,1,0,1,1,,,,,,,,,,,,,,0,0,1,0,1,0,0,1,0,0,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,0,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
MA,Middlesex,1851,Lowell LF,Lowell,Public,1947,1992,Closed,,"1,335,800",,"85,800",,,,0.876816789,0.369908101,0.056670794,0.011047383,0.41839927,0.000391058,0.001661996,0.018738187,0.00335658,0.015381607,0.123183211,,1,0,0,1,1,0,0,0,1,0,0,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,0,1,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,0,0,1,1,1,1,0,1,0,0,,,,,,,,,,,
MA,Essex,1960,GCR LF,Peabody,Private,,1995,Closed,,,,"255,500",1995,,,0.900547237,0.826442198,0.033157255,0.003401231,0.011210762,0,0.004522308,0.021813483,0.007562514,0.014250969,0.099452763,,1,1,0,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,0,0,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,0,1,1,1,0,0,1,0,0,1,,,,,,,,,,,,,,0,0,0,0,0,1,0,1,0,0,,,,,,,,,,,
MA,Plymouth,2045,Hull Landfill,Hull,Public,1969,2018,Closed,,,,441,2018,,,0.982592061,0.946245815,0.004878049,0,0.009947394,0,0.001147776,0.020373027,0,0.020373027,0.017407939,,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,1,0,0,1,0,1,1,0,1,0,,,,,,,,,,,,,,0,0,1,0,1,0,0,1,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,1,0,1,1,0,1,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
MA,Plymouth,2050,Marshfield LF,Marshfield,Public,1964,2000,Closed,"774,189","774,189",,"32,850",2000,0.34,,0.97898711,0.963160705,0.002135611,0,0.005339028,0.000266951,0.001105942,0.006978873,0.001716116,0.005262756,0.02101289,,1,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,1,1,0,0,1,1,1,0,1,0,0,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,1,0,0,0,0,1,0,1,1,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,1,0,0,1,0,0,,,,,,,,,,,
MA,Norfolk,2169,Quarry Hills Soils LF,Quincy,Private,1998,2001,Closed,,,,,,,,0.961183943,0.621623056,0.062558604,0.000442298,0.247226793,0.000389222,0.009925163,0.019018807,0.001716116,0.017302691,0.038816057,,1,1,0,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,0,1,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,0,0,0,1,1,1,0,1,0,0,,,,,,,,,,,
