State,County,Current Landfill Status,Landfill Design Capacity (tons),Waste in Place (tons),Waste in Place Year,State and County,,,,,,,,
GA,Thomas,Open,"6,812,419","3,515,353",2019,GA Thomas,3515353,,,,,,,
GA,Tift,Open,"1,792,201","1,590,957",2019,GA Tift,1590957,,,,,,,
GA,Toombs,Open,,,,GA Toombs,0,,,,,,,
GA,Troup,Open,"10,170,221","2,978,657",2019,GA Troup,2978657,,,,,,,
GA,Twiggs,Open,"13,122,931","6,413,435",2019,GA Twiggs,6413435,,,,,,,
GA,Walker,Closed,,"1,050,000",1998,GA Walker,1050000,,,,,,,
GA,Wayne,Open,"64,334,141","13,216,393",2019,GA Wayne,13216393,,,,,,,
GA,Whitfield,Open,"12,981,809","6,259,098",2019,GA Whitfield,6259098,,,,,,,
GU,,Open,"10,435,535","788,100",2019,GU ,3288100,,,,,,,
GU,,Closed,"2,500,000","2,500,000",2009,GU ,,,,,,,,
HI,Hawaii,Closed,"500,000","500,000",,HI Hawaii,6495682,,,,,,,
HI,Hawaii,Closed,"3,978,101","3,193,059",2019,HI Hawaii,,,,,,,,
HI,Hawaii,Open,"9,129,661","2,802,623",2019,HI Hawaii,,,,,,,,
HI,Honolulu,Open,,,,HI Honolulu,25591475,,,,,,,
HI,Honolulu,Closed,,"4,500,000",2000,HI Honolulu,,,,,,,,
HI,Honolulu,Closed,"5,838,790","5,838,786",1995,HI Honolulu,,,,,,,,
HI,Honolulu,Closed,,"2,845,215",1988,HI Honolulu,,,,,,,,
HI,Honolulu,Open,"21,826,964","12,407,474",2019,HI Honolulu,,,,,,,,
HI,Kauai,Open,"2,868,561","2,850,072",2019,HI Kauai,2850072,,,,,,,
HI,Maui,Open,"7,608,132","5,696,622",2019,HI Maui,6436157,,,,,,,
HI,Maui,Open,"300,000","124,500",2008,HI Maui,,,,,,,,
HI,Maui,Closed,"81,625","81,625",1993,HI Maui,,,,,,,,
HI,Maui,Open,"350,000","182,910",2008,HI Maui,,,,,,,,
HI,Maui,Open,"121,000","90,800",2008,HI Maui,,,,,,,,
HI,Maui,Closed,"262,500","259,700",1992,HI Maui,,,,,,,,
IA,Benton,Open,"992,250",,,IA Benton,0,,,,,,,
IA,Black Hawk,Open,"9,118,438","6,153,665",2019,IA Black Hawk,6153665,,,,,,,
IA,Boone,Open,"2,733,098","2,008,149",2019,IA Boone,2008149,,,,,,,
IA,Carroll,Open,"2,506,144","1,409,734",2019,IA Carroll,1409734,,,,,,,
IA,Cass,Open,"719,777",,,IA Cass,0,,,,,,,
IA,Cerro Gordo,Open,"6,508,168","3,311,442",2019,IA Cerro Gordo,3311442,,,,,,,
IA,Cherokee,Open,,,,IA Cherokee,0,,,,,,,
IA,Clinton,Open,"2,548,490","1,988,447",2019,IA Clinton,1988447,,,,,,,
IA,Dallas,Open,"1,423,137",,,IA Dallas,0,,,,,,,
IA,Dallas,Open,"1,455,486",,,IA Dallas,,,,,,,,
IA,Decatur,Open,"1,048,950",,,IA Decatur,0,,,,,,,
IA,Des Moines,Open,"7,199,101","2,873,010",2019,IA Des Moines,2873010,,,,,,,
IA,Dickinson,Open,"6,206,855","1,907,386",2019,IA Dickinson,1907386,,,,,,,
IA,Dubuque,Open,"7,136,650","3,881,276",2019,IA Dubuque,3881276,,,,,,,
IA,Fayette,Closed,,"275,484",2001,IA Fayette,275484,,,,,,,
IA,Fremont,Open,"289,645",,,IA Fremont,0,,,,,,,
IA,Hardin,Open,"1,998,973",,,IA Hardin,0,,,,,,,
IA,Harrison,Open,"987,603",,,IA Harrison,0,,,,,,,
IA,Iowa,Open,"465,035",,,IA Iowa,0,,,,,,,
IA,Jasper,Open,,"840,000",,IA Jasper,840000,,,,,,,
IA,Johnson,Open,"7,894,893","4,543,514",2019,IA Johnson,4543514,,,,,,,
IA,Keokuk,Open,"1,678,093",,,IA Keokuk,0,,,,,,,
IA,Lee,Open,"2,726,803","1,988,038",2019,IA Lee,1988038,,,,,,,
IA,Linn,Closed,"4,000,000","3,800,000",2001,IA Linn,7639886,,,,,,,
IA,Linn,Open,"7,467,048","3,839,886",2019,IA Linn,,,,,,,,
IA,Madison,Open,"1,593,449","1,165,963",2019,IA Madison,1165963,,,,,,,
IA,Mahaska,Open,"927,596",,,IA Mahaska,0,,,,,,,
IA,Marion,Open,"2,983,072","1,517,103",2019,IA Marion,1517103,,,,,,,
IA,Marshall,Open,"1,681,930","1,237,997",2019,IA Marshall,1237997,,,,,,,
IA,Mills,Open,"15,877,375","3,537,536",2019,IA Mills,3537536,,,,,,,
IA,Mitchell,Open,"2,199,488",,,IA Mitchell,0,,,,,,,
IA,Montgomery,Closed,,,,IA Montgomery,0,,,,,,,
IA,Muscatine,Open,"2,677,419","2,178,795",2019,IA Muscatine,2178795,,,,,,,
IA,Page,Open,"682,115",,,IA Page,0,,,,,,,
IA,Palo Alto,Open,"2,021,708",,,IA Palo Alto,0,,,,,,,
IA,Polk,Open,"62,610,716","20,521,807",2019,IA Polk,20521807,,,,,,,
IA,Pottawattamie,Unknown,,,,IA Pottawattamie,0,,,,,,,
IA,Poweshiek,Closed,,"326,040",,IA Poweshiek,326040,,,,,,,
IA,Sac,Closed,"354,429",,,IA Sac,0,,,,,,,
IA,Scott,Open,"10,900,673","4,656,477",2019,IA Scott,4656477,,,,,,,
IA,Sioux,Open,"6,420,582","2,335,487",2019,IA Sioux,2335487,,,,,,,
IA,Tama,Open,"837,900",,,IA Tama,0,,,,,,,
IA,Van Buren,Closed,,"104,866",,IA Van Buren,104866,,,,,,,
IA,Wapello,Open,"3,290,690","1,591,231",2019,IA Wapello,1591231,,,,,,,
IA,Webster,Open,"3,376,362","2,622,217",2019,IA Webster,2622217,,,,,,,
IA,Winnebago,Open,"41,288,026","6,107,044",2019,IA Winnebago,6107044,,,,,,,
IA,Winneshiek,Open,"2,346,278","1,828,381",2019,IA Winneshiek,1828381,,,,,,,
IA,Woodbury,Closed,,"1,144,000",,IA Woodbury,1144000,,,,,,,
ID,Ada,Open,"51,609,362","15,194,709",2019,ID Ada,15194709,,,,,,,
ID,Ada,Unknown,,,,ID Ada,,,,,,,,
ID,Adams,Open,,,,ID Adams,0,,,,,,,
ID,Bannock,Open,"4,262,089","3,519,131",2019,ID Bannock,3519131,,,,,,,
ID,Bear Lake,Open,,,,ID Bear Lake,0,,,,,,,
ID,Bingham,Closed,,,,ID Bingham,0,,,,,,,
ID,Bingham,Closed,,,,ID Bingham,,,,,,,,
ID,Boise,Closed,,,,ID Boise,0,,,,,,,
ID,Bonneville,Open,,,,ID Bonneville,0,,,,,,,
ID,Boundary,Open,,,,ID Boundary,0,,,,,,,
ID,Butte,Open,,,,ID Butte,0,,,,,,,
ID,Butte,Open,,,,ID Butte,,,,,,,,
ID,Canyon,Open,"9,506,240","5,402,843",2019,ID Canyon,5402843,,,,,,,
ID,Cassia,Open,"17,462,989","4,487,390",2019,ID Cassia,4487390,,,,,,,
ID,Clearwater,Unknown,,,,ID Clearwater,0,,,,,,,
ID,Elmore,Open,,,,ID Elmore,2711473,,,,,,,
ID,Elmore,Open,,,,ID Elmore,,,,,,,,
ID,Elmore,Open,"38,945,263","2,711,473",2019,ID Elmore,,,,,,,,
ID,Franklin,Closed,,,,ID Franklin,0,,,,,,,
ID,Fremont,Open,"75,000","50,000",2009,ID Fremont,125000,,,,,,,
ID,Fremont,Open,"100,000","75,000",2009,ID Fremont,,,,,,,,
ID,Jefferson,Open,"1,394,090","548,967",2014,ID Jefferson,862037.321,,,,,,,
ID,Jefferson,Closed,,"313,070",1996,ID Jefferson,,,,,,,,
ID,Kootenai,Open,"3,619,622","3,351,888",2019,ID Kootenai,3351888,,,,,,,
ID,Latah,Closed,,,,ID Latah,0,,,,,,,
ID,Lemhi,Open,,,,ID Lemhi,0,,,,,,,
ID,Lemhi,Closed,,,,ID Lemhi,,,,,,,,
ID,Oneida,Closed,,,,ID Oneida,0,,,,,,,
ID,Payette,Open,,"977,483",2007,ID Payette,977483,,,,,,,
ID,Teton,Closed,,,,ID Teton,0,,,,,,,
ID,Twin Falls,Open,,,,ID Twin Falls,0,,,,,,,
IL,Adams,Closed,,"2,187,359",,IL Adams,2187359,,,,,,,
IL,Bond,Closed,"2,700,000","1,581,904",,IL Bond,1581904,,,,,,,
IL,Champaign,Closed,,"634,500",,IL Champaign,869500,,,,,,,
IL,Champaign,Closed,,"235,000",,IL Champaign,,,,,,,,
IL,Christian,Open,"20,142,848","13,257,880",2019,IL Christian,13257880,,,,,,,
IL,Coles,Closed,"1,374,600","824,600",2003,IL Coles,824600,,,,,,,
IL,Cook,Closed,"9,582,457","9,582,454",1982,IL Cook,117793476,,,,,,,
IL,Cook,Closed,,"7,000,000",,IL Cook,,,,,,,,
IL,Cook,Closed,,,,IL Cook,,,,,,,,
IL,Cook,Closed,"31,065,973","31,065,972",2007,IL Cook,,,,,,,,
IL,Cook,Closed,"8,861,616","8,861,616",2008,IL Cook,,,,,,,,
IL,Cook,Closed,"6,914,371","6,914,370",1983,IL Cook,,,,,,,,
IL,Cook,Closed,"15,786,502","15,786,494",1993,IL Cook,,,,,,,,
IL,Cook,Closed,,"11,183,620",,IL Cook,,,,,,,,
IL,Cook,Closed,"15,000,000","3,307,390",1998,IL Cook,,,,,,,,
IL,Cook,Closed,,"1,300,000",1999,IL Cook,,,,,,,,
IL,Cook,Closed,,"9,766,782",,IL Cook,,,,,,,,
IL,Cook,Closed,,"12,024,778",2014,IL Cook,,,,,,,,
IL,Cook,Closed,,"1,000,000",,IL Cook,,,,,,,,
IL,De Witt,Open,"31,481,987","8,638,627",2019,IL De Witt,8638627,,,,,,,
IL,DeKalb,Open,"24,258,327","6,204,969",2019,IL DeKalb,6204969,,,,,,,
IL,Douglas,Closed,,"1,307,103",,IL Douglas,1307103,,,,,,,
IL,DuPage,Closed,"16,282,282","16,282,279",1996,IL DuPage,38715532,,,,,,,
IL,DuPage,Closed,"22,433,253","22,433,253",1999,IL DuPage,,,,,,,,
IL,Effingham,Open,,"2,067,302",2019,IL Effingham,2067302,,,,,,,
IL,Fulton,Closed,,"285,603",2008,IL Fulton,285603,,,,,,,
IL,Greene,Closed,,"12,919,592",,IL Greene,12919592,,,,,,,
IL,Grundy,Closed,"7,934,502","7,904,743",2016,IL Grundy,8926743,,,,,,,
IL,Grundy,Closed,"1,200,000","1,022,000",,IL Grundy,,,,,,,,
IL,Henry,Closed,,"1,000,000",,IL Henry,1000000,,,,,,,
IL,Iroquois,Closed,,"1,900,000",,IL Iroquois,10787255,,,,,,,
IL,Iroquois,Closed,,"8,887,255",,IL Iroquois,,,,,,,,
IL,Jackson,Open,"21,465,909","9,591,996",2019,IL Jackson,9591996,,,,,,,
IL,Jersey,Closed,,,,IL Jersey,584700,,,,,,,
IL,Jersey,Open,"1,515,700","584,700",2003,IL Jersey,,,,,,,,
IL,Kane,Closed,,"19,560,637",2006,IL Kane,27360637,,,,,,,
IL,Kane,Closed,"7,800,000","7,800,000",,IL Kane,,,,,,,,
IL,Kankakee,Closed,"3,336,571","3,336,571",2005,IL Kankakee,3336571,,,,,,,
IL,Knox,Open,"3,600,765","3,311,836",2019,IL Knox,3311836,,,,,,,
IL,Lake,Open,"18,796,217","15,997,435",2019,IL Lake,40418624,,,,,,,
IL,Lake,Closed,,"2,000,000",1984,IL Lake,,,,,,,,
IL,Lake,Open,"32,125,498","22,421,189",2019,IL Lake,,,,,,,,
IL,LaSalle,Open,"9,350,423","4,088,786",2019,IL LaSalle,4998786,,,,,,,
IL,LaSalle,Unknown,,"910,000",1999,IL LaSalle,,,,,,,,
IL,Lawrence,Open,"3,352,175","2,152,768",2019,IL Lawrence,2152768,,,,,,,
IL,Lee,Open,"49,020,450","20,060,052",2019,IL Lee,20060052,,,,,,,
IL,Livingston,Open,"82,413,820","53,783,549",2019,IL Livingston,56283549,,,,,,,
IL,Livingston,Closed,,"2,500,000",2001,IL Livingston,,,,,,,,
IL,Macon,Open,"17,456,120","9,890,479",2019,IL Macon,9890479,,,,,,,
IL,Madison,Closed,"1,095,457","660,557",1990,IL Madison,35025194,,,,,,,
IL,Madison,Closed,"5,965,128","5,965,128",2004,IL Madison,,,,,,,,
IL,Madison,Open,"58,479,108","28,399,509",2019,IL Madison,,,,,,,,
IL,Marion,Closed,"274,200","107,200",2003,IL Marion,107200,,,,,,,
IL,McDonough,Open,"11,345,974","4,282,481",2019,IL McDonough,4282481,,,,,,,
IL,McLean,Closed,"2,841,392","2,626,797",2018,IL McLean,3626797,,,,,,,
IL,McLean,Closed,,"1,000,000",,IL McLean,,,,,,,,
IL,Mercer,Closed,,"900,000",,IL Mercer,900000,,,,,,,
IL,Montgomery,Open,"4,630,910","3,234,700",2019,IL Montgomery,3234700,,,,,,,
IL,Ogle,Closed,,,,IL Ogle,37887463,,,,,,,
IL,Ogle,Open,"41,537,551","32,515,162",2019,IL Ogle,,,,,,,,
IL,Ogle,Open,"9,696,902","5,372,301",2019,IL Ogle,,,,,,,,
IL,Peoria,Open,"10,578,488","8,671,265",2019,IL Peoria,9560465,,,,,,,
IL,Peoria,Closed,"1,108,200","889,200",2003,IL Peoria,,,,,,,,
IL,Perry,Open,"10,040,924","1,068,459",2019,IL Perry,1068459,,,,,,,
IL,Pike,Open,"4,614,103","3,805,679",2019,IL Pike,3805679,,,,,,,
IL,Richland,Closed,,,1998,IL Richland,0,,,,,,,
IL,Rock Island,Open,"23,373,015","7,671,215",2019,IL Rock Island,32046256,,,,,,,
IL,Rock Island,Closed,"5,128,391","5,128,385",1999,IL Rock Island,,,,,,,,
IL,Rock Island,Closed,,"11,168,558",1998,IL Rock Island,,,,,,,,
IL,Rock Island,Open,"10,954,872","8,078,098",2019,IL Rock Island,,,,,,,,
IL,Saline,Closed,"1,269,000","1,269,000",2005,IL Saline,2399413,,,,,,,
IL,Saline,Open,"8,685,772","1,130,413",2019,IL Saline,,,,,,,,
IL,Sangamon,Open,"4,786,519","3,897,948",2019,IL Sangamon,3897948,,,,,,,
IL,St. Clair,Closed,"2,343,402","2,343,402",1993,IL St. Clair,46142354,,,,,,,
IL,St. Clair,Open,"31,564,482","7,880,947",2019,IL St. Clair,,,,,,,,
IL,St. Clair,Open,"40,550,641","29,903,905",2019,IL St. Clair,,,,,,,,
IL,St. Clair,Closed,"6,014,100","6,014,100",,IL St. Clair,,,,,,,,
IL,Stephenson,Closed,"780,000","780,000",2003,IL Stephenson,780000,,,,,,,
IL,Tazewell,Open,"12,127,500","4,642,162",2019,IL Tazewell,16202261,,,,,,,
IL,Tazewell,Closed,,"3,329,169",1999,IL Tazewell,,,,,,,,
IL,Tazewell,Closed,"6,701,428","6,701,428",2007,IL Tazewell,,,,,,,,
IL,Tazewell,Closed,,"1,529,502",,IL Tazewell,,,,,,,,
IL,Vermilion,Open,"14,619,020","11,091,487",2019,IL Vermilion,13588503,,,,,,,
IL,Vermilion,Open,"11,616,555","2,497,016",2019,IL Vermilion,,,,,,,,
IL,Wayne,Open,"6,939,315","1,939,520",2019,IL Wayne,1939520,,,,,,,
IL,Whiteside,Open,"20,562,533","8,514,486",2019,IL Whiteside,8514486,,,,,,,
IL,Will,Closed,"4,907,320","4,613,270",1996,IL Will,24257624,,,,,,,
IL,Will,Closed,"1,596,000","1,596,000",2000,IL Will,,,,,,,,
IL,Will,Closed,,"2,000,000",1992,IL Will,,,,,,,,
IL,Will,Closed,"711,240","693,240",2003,IL Will,,,,,,,,
IL,Will,Open,"24,161,285","11,324,812",2019,IL Will,,,,,,,,
IL,Will,Closed,"4,030,309","4,030,302",2001,IL Will,,,,,,,,
IL,Williamson,Closed,,"1,980,816",,IL Williamson,1980816,,,,,,,
IL,Winnebago,Open,"44,201,408","23,175,993",2019,IL Winnebago,23175993,,,,,,,
IN,Adams,Closed,"2,800,000","2,774,000",,IN Adams,2774000,,,,,,,
IN,Allen,Open,"35,943,069","21,008,766",2019,IN Allen,26552044,,,,,,,
IN,Allen,Open,"5,983,081","5,543,278",2019,IN Allen,,,,,,,,
IN,Bartholomew,Closed,"1,541,697","1,541,697",1998,IN Bartholomew,3139766,,,,,,,
IN,Bartholomew,Open,"6,127,082","1,581,543",2019,IN Bartholomew,,,,,,,,
IN,Bartholomew,Closed,,"16,526",,IN Bartholomew,,,,,,,,
IN,Bartholomew,Closed,,,,IN Bartholomew,,,,,,,,
IN,Blackford,Closed,,"201,058",,IN Blackford,201058,,,,,,,
IN,Boone,Closed,,"3,712,324",,IN Boone,3712324,,,,,,,
IN,Brown,Closed,,"288,653",,IN Brown,288653,,,,,,,
IN,Cass,Open,"24,025,908","8,123,997",2019,IN Cass,8123997,,,,,,,
IN,Clark,Open,"9,680,715","8,257,801",2019,IN Clark,8284126,,,,,,,
IN,Clark,Closed,,"26,325",,IN Clark,,,,,,,,
IN,Clay,Closed,"2,100,360","2,100,359",1995,IN Clay,2100359,,,,,,,
IN,Clinton,Open,"27,532,026","7,016,139",2019,IN Clinton,7016139,,,,,,,
IN,Daviess,Open,"1,530,479","1,035,978",2019,IN Daviess,1035978,,,,,,,
IN,Dearborn,Closed,,"89,407",,IN Dearborn,89407,,,,,,,
IN,Dearborn,Closed,,,,IN Dearborn,,,,,,,,
IN,Decatur,Closed,,"640,418",,IN Decatur,3661423,,,,,,,
IN,Decatur,Open,"5,168,520","3,021,005",2019,IN Decatur,,,,,,,,
IN,DeKalb,Closed,,"1,286,743",,IN DeKalb,1286743,,,,,,,
IN,Dubois,Closed,,"346,484",,IN Dubois,346484,,,,,,,
IN,Elkhart,Open,"12,501,884","9,761,561",2019,IN Elkhart,18008096,,,,,,,
IN,Elkhart,Open,"11,466,000","8,246,535",2019,IN Elkhart,,,,,,,,
IN,Fountain,Closed,,"412,082",,IN Fountain,412082,,,,,,,
IN,Fulton,Open,"45,046,482","16,362,614",2019,IN Fulton,16362614,,,,,,,
IN,Gibson,Closed,,"255,029",,IN Gibson,255029,,,,,,,
IN,Greene,Closed,"2,722,107","2,722,104",2004,IN Greene,2722104,,,,,,,
IN,Hancock,Closed,,"1,500,000",,IN Hancock,1500000,,,,,,,
IN,Hendricks,Open,"47,996,636","28,621,989",2019,IN Hendricks,28621989,,,,,,,
IN,Henry,Open,"4,251,340","2,257,623",2019,IN Henry,2257623,,,,,,,
IN,Howard,Closed,,"11,492",,IN Howard,11492,,,,,,,
IN,Huntington,Closed,,"253,110",,IN Huntington,253110,,,,,,,
IN,Jackson,Open,"14,972,532","6,154,495",2019,IN Jackson,7793758,,,,,,,
IN,Jackson,Closed,"1,639,263","1,639,263",,IN Jackson,,,,,,,,
IN,Jay,Open,"19,645,611","5,749,219",2019,IN Jay,5749219,,,,,,,
IN,Jennings,Closed,,"410,322",,IN Jennings,410322,,,,,,,
IN,Knox,Unknown,,,1998,IN Knox,196596,,,,,,,
IN,Knox,Closed,,"196,596",,IN Knox,,,,,,,,
IN,Kosciusko,Open,"8,663,794","7,327,110",2019,IN Kosciusko,7327110,,,,,,,
IN,LaGrange,Closed,,"99,220",,IN LaGrange,99220,,,,,,,
IN,Lake,Closed,"3,969,000","3,769,702",1997,IN Lake,5939856,,,,,,,
IN,Lake,Closed,,"129,466",,IN Lake,,,,,,,,
IN,Lake,Closed,"2,181,887","2,040,688",2004,IN Lake,,,,,,,,
IN,LaPorte,Closed,"10,602,815","10,602,806",2002,IN LaPorte,17295212,,,,,,,
IN,LaPorte,Closed,,"6,692,406",,IN LaPorte,,,,,,,,
IN,Lawrence,Closed,,"534,384",,IN Lawrence,534384,,,,,,,
IN,Madison,Closed,,"750,000",1992,IN Madison,750000,,,,,,,
IN,Marion,Closed,,"101,760",,IN Marion,24059854,,,,,,,
IN,Marion,Open,"51,050,160","23,957,886",2019,IN Marion,,,,,,,,
IN,Marion,Closed,,208,,IN Marion,,,,,,,,
IN,Martin,Closed,,"53,568",,IN Martin,53568,,,,,,,
IN,Miami,Closed,,"1,359,893",,IN Miami,1359893,,,,,,,
IN,Monroe,Closed,"2,180,000","2,180,000",2004,IN Monroe,2180000,,,,,,,
IN,Newton,Open,"131,251,141","51,889,435",2019,IN Newton,51889435,,,,,,,
IN,Noble,Closed,,"927,741",,IN Noble,927741,,,,,,,
IN,Owen,Closed,,"98,626",,IN Owen,98626,,,,,,,
IN,Pike,Open,"29,430,275","11,151,688",2019,IN Pike,11316931,,,,,,,
IN,Pike,Closed,,"165,243",,IN Pike,,,,,,,,
IN,Posey,Closed,,"912,240",,IN Posey,912240,,,,,,,
IN,Randolph,Open,"30,267,023","9,199,343",2019,IN Randolph,9199343,,,,,,,
IN,Ripley,Closed,,,,IN Ripley,315000,,,,,,,
IN,Ripley,Closed,"315,000","315,000",1997,IN Ripley,,,,,,,,
IN,Shelby,Open,"33,978,462","7,056,553",2019,IN Shelby,7056553,,,,,,,
IN,Spencer,Closed,,"3,191,122",,IN Spencer,3191122,,,,,,,
IN,St. Joseph,Closed,"268,000","268,000",,IN St. Joseph,13182889,,,,,,,
IN,St. Joseph,Open,"24,735,240","12,914,889",2019,IN St. Joseph,,,,,,,,
IN,Sullivan,Closed,,"315,370",,IN Sullivan,315370,,,,,,,
IN,Tipton,Closed,,"287,672",,IN Tipton,287672,,,,,,,
IN,Vanderburgh,Open,"24,482,325","16,323,455",2019,IN Vanderburgh,16323455,,,,,,,
IN,Vermillion,Closed,,"4,319",,IN Vermillion,850011,,,,,,,
IN,Vermillion,Closed,,"185,900",,IN Vermillion,,,,,,,,
IN,Vermillion,Open,,"659,792",,IN Vermillion,,,,,,,,
IN,Vigo,Closed,,"2,145,000",,IN Vigo,18705564,,,,,,,
IN,Vigo,Closed,,,,IN Vigo,,,,,,,,
IN,Vigo,Open,"30,893,129","16,560,564",2019,IN Vigo,,,,,,,,
IN,Vigo,Unknown,,,1998,IN Vigo,,,,,,,,
IN,Wabash,Closed,,"2,900,286",,IN Wabash,14306291,,,,,,,
IN,Wabash,Open,"16,833,481","11,406,005",2019,IN Wabash,,,,,,,,
IN,Warren,Closed,,"31,950",,IN Warren,31950,,,,,,,
IN,Warrick,Closed,,,,IN Warrick,229306,,,,,,,
IN,Warrick,Closed,,"229,306",,IN Warrick,,,,,,,,
IN,Washington,Open,"1,164,000","534,000",2008,IN Washington,534000,,,,,,,
IN,Wayne,Open,"7,365,348","4,082,780",2019,IN Wayne,4082780,,,,,,,
IN,Wells,Closed,,"1,331,427",,IN Wells,2299401,,,,,,,
IN,Wells,Closed,,"967,974",,IN Wells,,,,,,,,
IN,White,Open,"36,620,815","21,905,462",2019,IN White,21905462,,,,,,,
IN,Whitley,Closed,,,,IN Whitley,0,,,,,,,
IN,,Unknown,,,1998,IN ,0,,,,,,,
KS,Allen,Open,"4,961,250","1,343,869",2019,KS Allen,1343869,,,,,,,
KS,Barber,Open,,,,KS Barber,0,,,,,,,
KS,Barton,Open,"5,465,187","1,457,245",2019,KS Barton,1457245,,,,,,,
KS,Butler,Open,"6,329,816","1,941,883",2019,KS Butler,1941883,,,,,,,
KS,Cherokee,Closed,"3,302,976","2,891,681",2006,KS Cherokee,2891681,,,,,,,
KS,Cheyenne,Open,,,,KS Cheyenne,0,,,,,,,
KS,Clark,Open,,,,KS Clark,0,,,,,,,
KS,Clay,Open,,,,KS Clay,0,,,,,,,
KS,Coffey,Open,,"178,752",,KS Coffey,178752,,,,,,,
KS,Cowley,Closed,,"1,095,150",,KS Cowley,1095150,,,,,,,
KS,Crawford,Closed,,"1,661,063",,KS Crawford,6136807,,,,,,,
KS,Crawford,Open,"8,919,009","4,475,744",2019,KS Crawford,,,,,,,,
KS,Decatur,Open,,,,KS Decatur,0,,,,,,,
KS,Finney,Open,"7,938,000","1,984,353",2019,KS Finney,1984353,,,,,,,
KS,Ford,Closed,,"498,000",,KS Ford,1025000,,,,,,,
KS,Ford,Open,"4,700,000","527,000",2009,KS Ford,,,,,,,,
KS,Gove,Open,,,,KS Gove,0,,,,,,,
KS,Graham,Open,,,,KS Graham,0,,,,,,,
KS,Greeley,Open,,,,KS Greeley,0,,,,,,,
KS,Hamilton,Open,,,,KS Hamilton,0,,,,,,,
KS,Harper,Open,"28,665,000","6,541,611",2019,KS Harper,6541611,,,,,,,
KS,Harvey,Closed,,"1,511,401",,KS Harvey,1511401,,,,,,,
KS,Haskell,Open,,,,KS Haskell,0,,,,,,,
KS,Hodgeman,Open,,,,KS Hodgeman,0,,,,,,,
KS,Jefferson,Open,"55,125,000","10,867,646",2019,KS Jefferson,10867646,,,,,,,
KS,Johnson,Closed,,"175,463",,KS Johnson,43361004,,,,,,,
KS,Johnson,Open,"83,527,712","43,185,541",2019,KS Johnson,,,,,,,,
KS,Kearny,Open,,,,KS Kearny,0,,,,,,,
KS,Kiowa,Open,,,,KS Kiowa,76076,,,,,,,
KS,Kiowa,Closed,,"76,076",,KS Kiowa,,,,,,,,
KS,Logan,Open,,,,KS Logan,0,,,,,,,
KS,Logan,Open,,,,KS Logan,,,,,,,,
KS,Marion,Closed,,"217,268",,KS Marion,217268,,,,,,,
KS,McPherson,Open,,"23,600",2015,KS McPherson,23600,,,,,,,
KS,McPherson,Closed,,,,KS McPherson,,,,,,,,
KS,Mitchell,Closed,,"217,750",,KS Mitchell,217750,,,,,,,
KS,Montgomery,Open,"3,627,502","2,673,335",2019,KS Montgomery,2673335,,,,,,,
KS,Morton,Open,,,,KS Morton,0,,,,,,,
KS,Neosho,Open,,,,KS Neosho,0,,,,,,,
KS,Ness,Open,,,,KS Ness,0,,,,,,,
KS,Osborne,Open,,,,KS Osborne,0,,,,,,,
KS,Phillips,Open,,"148,412",,KS Phillips,148412,,,,,,,
KS,Pratt,Open,,"379,181",,KS Pratt,379181,,,,,,,
KS,Rawlins,Open,,,,KS Rawlins,0,,,,,,,
KS,Reno,Open,"8,507,085","5,992,074",2019,KS Reno,5992074,,,,,,,
KS,Rooks,Open,,"270,635",,KS Rooks,270635,,,,,,,
KS,Rush,Open,,,,KS Rush,0,,,,,,,
KS,Russell,Open,,"230,165",,KS Russell,230165,,,,,,,
KS,Saline,Open,"120,251,088","3,551,204",2019,KS Saline,3551204,,,,,,,
KS,Sedgwick,Closed,"13,751,419","10,737,610",,KS Sedgwick,10737610,,,,,,,
KS,Seward,Open,"2,728,905","2,269,039",2019,KS Seward,2269039,,,,,,,
KS,Shawnee,Open,"31,541,031","10,553,272",2019,KS Shawnee,10553272,,,,,,,
KS,Sherman,Open,,,,KS Sherman,0,,,,,,,
KS,Smith,Open,,,,KS Smith,0,,,,,,,
KS,Stanton,Open,,,,KS Stanton,0,,,,,,,
KS,Stevens,Open,,,,KS Stevens,0,,,,,,,
KS,Thomas,Open,,,,KS Thomas,0,,,,,,,
KS,Trego,Open,,"133,956",,KS Trego,133956,,,,,,,
KS,Wallace,Open,,,,KS Wallace,0,,,,,,,
KS,Wichita,Open,,"111,490",,KS Wichita,111490,,,,,,,
KS,Wyandotte,Closed,"4,398,903","4,398,898",2006,KS Wyandotte,4398898,,,,,,,
KY,Barren,Open,"5,562,052","2,604,894",2019,KY Barren,2604894,,,,,,,
KY,Boone,Open,"15,879,699","8,113,802",2019,KY Boone,8113802,,,,,,,
KY,Boyd,Open,"47,666,917","10,392,413",2019,KY Boyd,14892929,,,,,,,
KY,Boyd,Closed,,"4,500,516",,KY Boyd,,,,,,,,
KY,Butler,Closed,,"2,574,000",,KY Butler,2574000,,,,,,,
KY,Christian,Closed,,"2,439,142",,KY Christian,2439142,,,,,,,
KY,Daviess,Closed,,"2,599,178",,KY Daviess,7890511,,,,,,,
KY,Daviess,Open,"9,401,610","5,291,333",2019,KY Daviess,,,,,,,,
KY,Estill,Open,"7,116,317","4,324,407",2019,KY Estill,4324407,,,,,,,
KY,Fayette,Closed,,"4,970,000",2011,KY Fayette,9615849,,,,,,,
